Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
High school graduate (includes equivalency),"32,149","1,465","1,016","2,028","2,255","2,056","1,944","1,872","1,821","1,669","1,510","1,446","1,081","1,202",943,955,916,794,624,661,551,583,504,465,378,329,319,271,220,214,182,170,88,118,122,109,67,76,92,72,63,899,"44,801",533,"60,959",699,0.462,0.0039,"24,791",287
"Some college, no degree","21,166",647,532,960,"1,081","1,128","1,046","1,242","1,137",941,877,911,814,814,754,680,670,619,500,413,459,483,346,394,259,332,200,268,211,209,178,262,154,168,104,94,115,84,85,64,60,871,"55,443",706,"73,006",918,0.446,0.0051,"29,321",378
Associate degree,"12,865",299,233,437,470,548,523,690,641,530,547,580,508,492,416,474,417,416,396,350,332,284,283,259,256,231,210,143,150,130,103,98,124,121,91,86,89,65,60,73,53,661,"64,232","1,061","81,815","1,178",0.425,0.0062,"31,623",473
Bachelor's degree or more,"43,698",745,369,695,790,882,953,"1,083","1,126","1,125","1,304","1,465","1,258","1,345","1,164","1,279","1,343","1,426","1,199","1,095","1,111","1,146",915,"1,045",920,"1,001",835,800,779,706,624,891,591,645,449,543,542,493,438,456,321,"7,801","100,301",656,"133,301","1,313",0.440,0.0036,"52,757",505
..Bachelor's degree,"26,732",497,223,475,520,601,651,760,802,765,866,976,904,898,784,813,920,905,777,663,729,720,559,678,560,632,517,435,470,425,371,552,336,407,219,294,293,214,252,241,181,"3,848","91,531",917,"119,122","1,236",0.427,0.0036,"46,883",487
..Master's degree,"12,567",199,121,171,200,234,253,260,258,298,357,384,257,358,336,369,320,436,325,353,306,317,268,284,293,285,260,265,212,202,161,238,203,182,181,170,174,185,126,164,90,"2,511","108,024","1,853","141,611","2,250",0.434,0.0062,"56,473",881
..Professional degree,"1,747",19,10,26,23,25,27,25,25,17,33,33,49,34,27,35,38,42,44,12,20,42,32,30,22,27,28,37,34,27,26,35,13,21,16,40,25,54,20,19,19,613,"150,260","5,802","208,218","9,945",0.470,0.0156,"84,102","3,850"
..Doctorate degree,"2,652",30,14,23,46,21,21,37,41,45,49,72,49,55,17,62,64,43,53,68,56,66,56,54,45,58,29,63,64,53,66,66,39,35,33,39,49,40,39,31,30,829,"142,400","3,963","187,512","7,070",0.438,0.0129,"74,745","2,770"
TENURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner Occupied,"82,162","1,923","1,221","2,400","2,856","3,122","2,973","3,248","3,157","2,869","2,961","3,037","2,653","2,824","2,426","2,595","2,583","2,506","2,130","2,039","1,994","1,968","1,712","1,777","1,489","1,545","1,346","1,238","1,157","1,045",966,"1,221",843,903,691,740,739,602,585,584,420,"9,073","76,357",422,"103,788",771,0.463,0.0027,"39,673",310
Renter Occupied,"43,850","2,305","1,961","3,293","3,032","2,848","2,649","2,733","2,492","2,136","1,953","2,084","1,483","1,524","1,251","1,181","1,156","1,035",876,702,642,698,458,487,421,445,307,307,251,287,164,264,148,179,93,125,103,122,99,113,89,"1,354","41,095",332,"58,889",646,0.491,0.0042,"24,713",251
Occupier Paid No Cash Rent,"1,657",143,112,133,158,126,115,119,70,93,77,31,58,63,32,35,27,24,29,13,8,26,10,13,22,2,3,2,16,9,4,4,15,4,0,4,7,6,5,0,0,39,"31,134",907,"48,006","2,367",0.519,0.0165,"22,212","1,097"
"For more information on the updated processing system, see < https://www.census.gov/data/datasets/time-series/demo/income-poverty/cps-asec-design.html >.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
