Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
South,"48,630","1,885","1,349","2,329","2,665","2,465","2,370","2,549","2,382","2,035","2,037","1,999","1,534","1,716","1,462","1,418","1,313","1,383","1,057","1,001","1,011","1,050",780,877,666,616,531,522,465,463,379,528,313,379,256,331,306,259,246,243,166,"3,294","55,775",597,"80,267",727,0.488,0.0029,"31,882",279
..South Atlantic,"26,145","1,046",683,"1,186","1,411","1,267","1,267","1,362","1,219","1,038","1,076","1,069",795,879,763,724,715,848,609,520,546,585,411,479,358,335,290,310,239,269,216,288,147,203,158,193,171,145,147,151,75,"1,955","57,711","1,009","83,043","1,006",0.490,0.0042,"33,831",400
..East South Central,"7,670",306,230,421,496,432,395,414,413,348,343,325,268,275,246,220,193,197,134,139,151,159,139,109,114,89,55,66,60,63,52,74,50,56,31,31,36,39,31,27,15,428,"50,463",755,"73,545","1,621",0.492,0.0070,"29,895",619
..West South Central,"14,816",534,436,722,757,766,708,773,749,648,617,605,471,562,453,474,405,339,314,343,314,306,230,289,194,192,186,147,167,131,111,166,116,120,67,107,100,75,68,66,77,911,"55,874","1,026","78,849","1,280",0.479,0.0053,"29,659",463
West,"28,866",905,686,"1,138","1,138","1,251","1,195","1,236","1,234","1,074","1,096","1,111",988,968,867,948,826,823,678,637,631,646,499,524,434,538,446,409,338,343,296,392,250,269,175,178,211,208,194,165,135,"2,785","66,961",758,"94,653","1,180",0.483,0.0041,"35,444",432
..Mountain,"9,341",261,232,359,379,431,429,402,470,365,390,389,384,313,304,312,316,265,246,234,203,201,185,162,163,156,158,125,97,96,89,100,66,58,53,64,71,52,52,45,36,627,"62,199","1,242","84,348","1,459",0.457,0.0060,"32,819",547
..Pacific,"19,525",644,454,779,759,819,766,834,765,709,706,723,604,655,563,636,510,558,432,403,428,445,314,363,271,383,289,284,240,247,207,292,184,211,123,114,140,156,141,120,99,"2,157","69,793","1,326","99,584","1,638",0.491,0.0052,"36,631",583
TYPE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"83,523","1,763","1,083","1,776","2,210","2,902","3,053","3,404","3,329","3,067","3,033","3,234","2,772","3,021","2,613","2,773","2,744","2,606","2,260","2,176","2,123","2,048","1,799","1,907","1,618","1,565","1,381","1,278","1,241","1,103",971,"1,241",884,941,709,747,734,620,598,551,433,"9,212","77,796",525,"105,127",670,0.451,0.0024,"32,823",222
.Married-couple families,"61,869",750,357,649,963,"1,554","1,781","2,055","2,016","1,970","2,023","2,157","1,955","2,134","1,959","2,096","2,092","2,060","1,802","1,776","1,752","1,706","1,518","1,613","1,361","1,333","1,180","1,120","1,087",964,845,"1,113",776,844,644,673,666,567,536,487,396,"8,538","91,330",512,"119,963",842,0.425,0.0028,"37,701",274
