"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2023 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error,Value   (Dol.),Standard error
All households,"131,400","4,305","2,131","4,536","4,725","5,047","4,728","5,285","4,674","4,761","4,453","4,838","4,252","4,463","3,867","3,904","3,669","3,505","3,061","3,132","2,838","3,312","2,321","2,462","2,188","2,421","2,086","1,996","1,730","1,680","1,375","2,005","1,389","1,461","1,131","1,144","1,043","1,106",921,940,889,"15,660","74,580",588,"106,400",628,0.488,0.0020,"42,330",250
Type of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"113,500","3,647","1,714","3,734","3,850","4,082","3,794","4,327","3,788","3,833","3,764","4,129","3,572","3,829","3,307","3,403","3,189","2,963","2,663","2,733","2,461","2,925","2,008","2,141","1,902","2,135","1,824","1,743","1,549","1,480","1,203","1,805","1,263","1,329","1,018","1,054",975,"1,022",874,881,831,"14,740","77,500",591,"110,900",679,0.486,0.0022,"43,860",273
..Inside principal cities,"43,710","1,731",798,"1,835","1,744","1,736","1,620","1,870","1,660","1,526","1,557","1,606","1,363","1,487","1,335","1,300","1,238","1,114","1,074",967,918,"1,098",742,744,638,717,637,625,566,488,383,663,389,480,292,347,267,338,270,247,249,"5,054","69,940",840,"102,900","1,138",0.506,0.0041,"43,250",494
..Outside principal cities,"69,770","1,916",916,"1,899","2,106","2,346","2,174","2,458","2,128","2,307","2,207","2,523","2,209","2,342","1,972","2,103","1,951","1,849","1,590","1,766","1,543","1,827","1,266","1,397","1,265","1,418","1,187","1,118",983,992,820,"1,142",874,849,726,707,707,684,603,634,582,"9,683","83,230",902,"115,900",969,0.473,0.0028,"44,210",376
Outside metropolitan statistical areas,"17,950",659,417,801,875,965,934,957,885,928,689,709,680,634,560,501,479,542,397,399,377,387,314,321,286,286,262,254,181,199,173,199,126,132,113,90,68,83,47,59,58,922,"55,960",814,"77,930","1,304",0.472,0.0050,"32,190",575
Region/Divisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,630",729,348,779,884,810,741,886,776,649,693,740,682,717,622,644,565,551,487,565,479,517,381,410,344,402,383,424,316,327,222,389,273,271,212,207,205,172,170,202,187,"3,271","80,360","1,174","115,300","1,838",0.494,0.0050,"46,380",737
..New England,"6,086",158,84,193,219,199,191,231,209,146,195,176,191,175,148,158,157,144,140,161,105,179,100,110,84,126,130,109,73,73,70,95,89,86,73,62,51,62,36,63,58,977,"87,250","1,968","125,200","3,146",0.496,0.0086,"50,900","1,268"
