"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2023 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
..Middle Atlantic,"16,550",572,264,586,665,612,549,656,566,503,497,564,491,542,474,486,407,407,347,404,374,339,281,300,260,277,254,315,243,254,152,295,184,185,139,145,154,110,134,139,129,"2,294","77,670","1,772","111,700","2,258",0.492,0.0060,"44,730",870
Midwest,"28,280",734,461,"1,000","1,021","1,126","1,031","1,173",979,"1,135","1,011","1,080",956,987,879,843,782,747,690,670,702,752,512,578,498,514,457,425,391,322,353,396,314,273,235,269,209,245,174,214,167,"2,974","73,070","1,175","102,400","1,290",0.475,0.0047,"42,640",506
..East North Central,"19,430",496,340,735,681,806,747,814,684,762,727,726,668,702,622,610,532,491,477,435,447,486,333,385,342,321,337,268,296,174,243,253,227,188,180,216,147,179,113,150,125,"1,961","71,420","1,063","100,000","1,617",0.472,0.0056,"41,720",624
..West North Central,"8,856",238,122,265,340,320,284,358,295,373,284,354,288,285,257,233,250,256,213,235,255,266,179,194,157,194,120,157,96,148,110,143,86,85,55,53,62,66,62,65,42,"1,014","77,140","1,628","107,600","2,454",0.481,0.0081,"44,640",975
South,"51,080","1,974",946,"1,843","1,917","2,106","2,055","2,218","2,052","2,010","1,768","2,109","1,718","1,763","1,488","1,534","1,468","1,439","1,161","1,195","1,000","1,347",874,878,826,862,728,682,599,593,511,696,457,569,392,403,373,427,344,301,291,"5,158","68,230",896,"98,250",942,0.491,0.0034,"39,170",393
..South Atlantic,"27,220","1,016",473,954,"1,014","1,008","1,027","1,170","1,039","1,047",942,"1,145",888,937,786,788,858,727,570,637,524,773,414,499,416,467,364,368,354,313,276,377,282,353,188,211,203,249,161,140,156,"3,108","70,760",770,"103,000","1,459",0.495,0.0048,"41,630",607
..East South Central,"8,063",371,155,328,323,405,355,405,385,400,297,342,271,315,241,249,250,232,204,182,157,165,135,101,113,125,104,96,66,103,65,105,61,50,58,62,66,67,51,46,32,528,"59,900","1,778","83,960","1,755",0.482,0.0087,"34,970",694
..West South Central,"15,800",587,319,560,580,693,673,644,628,563,530,622,559,511,462,497,360,481,387,377,320,410,325,278,297,270,260,218,179,177,170,214,114,166,147,131,105,111,132,115,103,"1,522","69,570","1,430","97,420","1,832",0.485,0.0065,"37,130",729
West,"29,440",868,376,913,903,"1,004",902,"1,008",867,968,981,910,896,997,878,883,854,768,722,701,657,696,554,595,520,643,518,465,424,437,290,524,345,348,292,264,255,261,233,222,244,"4,256","82,890","1,209","117,500","1,491",0.482,0.0044,"44,320",561
..Mountain,"9,861",262,124,305,306,374,353,366,331,370,346,306,318,396,274,284,309,300,252,272,241,214,207,172,170,229,158,142,125,148,122,185,119,96,87,68,90,91,68,82,80,"1,120","78,110","1,492","105,700","2,125",0.462,0.0063,"41,250",776
..Pacific,"19,580",606,252,609,597,630,549,642,536,598,635,604,578,601,604,599,544,468,470,429,415,482,347,423,350,414,359,323,299,289,169,339,226,251,204,196,165,170,164,140,164,"3,136","86,360","1,374","123,400","1,947",0.490,0.0052,"45,780",750
Type of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"84,330","1,804",776,"1,236","1,433","1,823","2,203","2,560","2,487","2,518","2,533","2,810","2,627","2,802","2,481","2,619","2,322","2,423","2,212","2,273","2,155","2,307","1,792","1,888","1,657","1,900","1,635","1,599","1,362","1,402","1,101","1,582","1,107","1,119",977,989,893,964,816,782,777,"13,590","95,450",583,"128,800",821,0.451,0.0023,"39,990",256
..Married-couple families,"62,180",901,373,439,644,939,"1,176","1,450","1,500","1,585","1,564","1,793","1,765","1,837","1,570","1,786","1,596","1,770","1,619","1,637","1,658","1,824","1,371","1,503","1,362","1,560","1,355","1,295","1,128","1,207",955,"1,319",945,980,815,839,763,801,702,704,704,"12,440","110,800",681,"146,000","1,018",0.431,0.0028,"45,720",311
"..Male householder, no spouse present","7,128",161,60,168,190,189,287,333,261,252,261,289,276,307,343,247,236,251,184,249,211,203,187,150,120,126,95,117,113,106,52,93,74,72,71,68,45,73,38,39,17,516,"73,630","1,651","94,070","1,862",0.419,0.0085,"29,180",580
"..Female householder, no spouse present","15,030",742,344,630,600,695,741,778,726,681,708,728,587,657,568,586,491,402,410,387,286,280,234,235,174,214,184,187,120,89,94,170,87,68,91,81,85,90,76,39,56,634,"56,030",736,"74,080","1,261",0.459,0.0078,"22,250",396
Nonfamily households,"47,100","2,502","1,355","3,300","3,292","3,224","2,525","2,724","2,186","2,243","1,921","2,029","1,625","1,662","1,387","1,285","1,346","1,082",848,859,682,"1,006",529,574,531,522,452,397,368,277,274,423,282,342,154,155,149,141,105,158,112,"2,072","45,440",503,"66,340",781,0.500,0.0040,"53,100",635
..Male householder,"22,740","1,196",595,"1,246","1,301","1,261","1,042","1,232","1,115","1,035",834,"1,006",774,896,724,608,671,610,422,483,344,511,301,355,302,324,290,248,211,180,156,229,148,222,92,95,90,77,50,121,65,"1,278","51,930",602,"74,320","1,217",0.493,0.0055,"56,520",919
....Living alone,"17,430","1,062",555,"1,176","1,204","1,159",918,"1,079",946,855,681,829,638,721,555,449,518,430,292,317,219,325,168,162,154,212,180,137,105,83,76,144,58,135,34,45,39,40,25,54,22,633,"42,790",987,"61,860","1,252",0.494,0.0071,"61,860","1,252"
..Female householder,"24,360","1,305",760,"2,053","1,992","1,964","1,483","1,492","1,072","1,208","1,087","1,023",850,765,663,677,675,472,426,375,338,495,229,219,229,198,162,148,157,97,118,194,134,120,62,61,60,64,55,37,48,794,"40,200",475,"58,890",976,0.499,0.0063,"49,580",823
....Living alone,"20,660","1,233",735,"1,953","1,939","1,840","1,402","1,403",963,"1,088",912,892,719,641,526,524,532,372,312,272,232,357,151,140,126,121,92,91,81,66,56,103,89,65,36,40,25,45,31,26,30,403,"34,310",490,"50,270",896,0.487,0.0068,"50,270",896
Age of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"94,300","2,929","1,327","2,431","2,276","2,709","2,453","3,211","2,864","3,004","2,971","3,310","2,904","3,179","2,767","2,898","2,767","2,670","2,280","2,347","2,201","2,652","1,777","1,960","1,752","1,955","1,662","1,647","1,336","1,455","1,115","1,714","1,201","1,202",926,967,874,950,735,792,713,"13,420","85,860",576,"118,700",821,0.473,0.0024,"42,730",281
..15 to 24 years,"6,136",378,161,233,269,259,302,339,312,308,319,259,251,282,223,250,246,154,126,150,141,125,58,105,84,60,80,70,35,30,37,39,45,38,23,9,18,21,20,17,11,247,"52,460","2,099","68,950","2,177",0.457,0.0117,"29,210",907
..25 to 34 years,"20,720",546,246,317,381,557,530,891,698,824,707,779,757,897,710,766,711,742,573,539,531,674,447,454,463,465,335,373,304,313,242,337,251,208,180,181,161,165,119,161,125,"2,063","80,240",916,"105,500","1,486",0.437,0.0062,"40,240",625
..35 to 44 years,"22,530",565,266,394,399,572,512,672,633,664,573,816,668,691,653,600,703,618,545,530,506,656,422,517,425,531,406,458,364,380,329,435,379,353,255,274,242,300,164,223,193,"3,644","96,630","1,093","129,500","1,645",0.459,0.0047,"39,050",496
..45 to 54 years,"21,500",530,239,451,381,500,439,541,519,527,638,680,615,551,590,624,527,571,457,564,536,632,450,447,402,479,444,396,342,401,280,545,295,325,244,268,230,230,174,238,185,"4,011","101,500",842,"137,500","1,783",0.462,0.0048,"45,600",582
..55 to 64 years,"23,410",910,416,"1,035",846,821,670,768,701,681,734,776,614,757,590,658,580,585,578,565,488,564,399,436,378,420,398,350,290,331,227,358,231,277,223,235,223,234,258,153,199,"3,454","81,240","1,110","116,000","1,568",0.501,0.0051,"50,550",724
65 years and over,"37,130","1,376",804,"2,105","2,449","2,338","2,275","2,074","1,809","1,757","1,482","1,529","1,348","1,284","1,100","1,006",902,835,781,784,636,661,544,502,435,466,424,349,394,225,260,291,188,259,205,177,169,156,186,148,176,"2,240","50,290",593,"75,020",901,0.494,0.0034,"40,780",494
..65 to 74 years,"21,440",706,391,"1,099","1,173","1,087","1,115","1,056",930,979,862,868,818,754,637,602,556,560,501,455,422,463,340,349,313,324,291,251,252,149,201,186,111,197,147,120,117,100,137,95,133,"1,591","57,400",848,"84,200","1,259",0.487,0.0047,"43,150",647
..75 years and over,"15,690",670,414,"1,005","1,276","1,251","1,161","1,017",879,778,619,660,530,530,463,404,346,275,280,329,214,198,205,153,122,143,133,97,142,76,59,105,77,61,59,57,52,56,49,53,43,649,"41,060",674,"62,470","1,040",0.490,0.0054,"37,030",597
Mean age of householder,52.06,53.52,55.47,60.07,60.67,58.54,58.23,54.49,54.58,53.35,52.91,52.48,51.92,50.84,50.88,50.07,49.30,49.62,50.61,50.94,49.54,48.66,50.49,48.78,48.41,48.95,50.12,48.19,50.33,48.13,48.94,48.73,47.29,49.42,49.70,49.23,49.55,48.86,51.72,48.68,50.78,49.62,(X),(X),(X),(X),(X),(X),(X),(X)
Size of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"38,100","2,294","1,290","3,129","3,143","3,000","2,320","2,482","1,909","1,943","1,593","1,721","1,357","1,362","1,081",973,"1,050",802,604,589,451,682,318,302,280,334,273,227,186,149,132,248,147,200,69,85,64,85,56,80,52,"1,036","38,350",663,"55,570",801,0.494,0.0047,"55,570",801
Two people,"45,960","1,184",482,902,969,"1,227","1,465","1,648","1,655","1,611","1,669","1,765","1,666","1,635","1,510","1,590","1,343","1,391","1,220","1,281","1,149","1,323",980,955,938,968,807,730,679,654,540,780,484,555,463,427,378,371,353,299,332,"5,579","81,990",666,"111,000","1,046",0.450,0.0036,"54,250",526
Three people,"19,770",394,174,297,264,378,448,503,526,522,533,593,554,725,573,617,576,543,554,544,564,537,395,478,379,442,405,399,355,356,339,449,297,282,210,252,207,225,255,179,185,"3,267","100,000","1,391","130,600","1,660",0.432,0.0057,"41,210",531
Four people,"16,040",245,132,111,212,255,281,335,334,372,375,450,365,376,380,393,347,430,417,399,386,442,353,398,335,372,328,361,302,303,240,325,308,278,242,198,242,279,145,249,189,"3,554","117,900","1,724","156,700","2,210",0.442,0.0054,"37,440",550
Five people,"7,192",124,26,65,83,127,126,189,146,188,169,191,196,241,204,178,216,211,150,212,197,225,160,184,161,215,165,143,132,127,68,140,107,96,95,104,105,84,77,66,78,"1,420","108,900","2,431","145,600","2,837",0.438,0.0066,"27,690",557
Six people,"2,721",30,12,24,44,32,63,96,51,67,77,63,75,66,75,96,87,90,70,72,45,85,69,84,68,35,79,90,42,58,50,44,24,34,38,39,34,26,22,38,29,496,"107,600","2,955","141,400","4,337",0.432,0.0127,"22,420",692
Seven people or more,"1,656",35,16,7,11,29,27,32,52,59,37,55,39,57,44,56,49,40,46,34,45,17,45,61,25,55,30,46,34,31,7,19,22,15,13,39,12,36,14,30,24,308,"109,100","3,445","143,100","5,696",0.443,0.0154,"17,590",700
Mean size of household,2.51,1.89,1.75,1.54,1.62,1.76,1.95,2.03,2.11,2.17,2.23,2.27,2.31,2.40,2.46,2.51,2.50,2.61,2.68,2.69,2.77,2.66,2.89,3.02,2.89,2.90,2.99,3.07,3.01,3.05,2.95,2.91,3.06,2.90,3.14,3.25,3.22,3.26,3.12,3.36,3.26,3.24,(X),(X),(X),(X),(X),(X),(X),(X)
Number of Earners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"32,740","3,793","1,355","3,463","3,216","2,840","2,427","1,987","1,583","1,477","1,254","1,072",950,821,709,619,493,438,397,410,335,270,293,214,175,192,169,113,158,111,90,99,62,103,33,76,50,69,29,47,59,691,"28,410",366,"44,510",628,0.527,0.0042,"27,650",387
One earner,"46,490",485,712,956,"1,346","1,934","1,944","2,820","2,510","2,533","2,296","2,699","2,172","2,339","1,830","1,841","1,650","1,556","1,226","1,107",898,"1,362",654,663,516,806,557,551,456,380,272,641,306,354,272,211,175,221,183,171,125,"2,753","61,300",320,"84,810",855,0.440,0.0039,"39,960",461
Two earners or more,"52,200",28,64,117,163,273,357,478,581,750,903,"1,067","1,130","1,303","1,328","1,443","1,526","1,511","1,438","1,615","1,605","1,681","1,374","1,585","1,496","1,423","1,360","1,332","1,117","1,188","1,013","1,264","1,021","1,004",827,857,818,815,709,722,705,"12,220","127,900",872,"164,400","1,144",0.378,0.0031,"47,950",330
..Two earners,"41,770",23,50,106,144,252,309,411,536,677,806,962,"1,028","1,156","1,153","1,263","1,292","1,300","1,202","1,369","1,380","1,425","1,120","1,281","1,269","1,140","1,067","1,024",868,918,764,967,802,773,595,632,607,576,513,498,539,"8,969","121,300",634,"158,000","1,230",0.383,0.0035,"50,520",393
..Three earners,"7,764",5,9,11,18,21,47,64,33,57,84,91,88,124,155,146,198,192,196,199,182,200,190,242,188,228,235,239,185,199,183,229,148,174,169,166,156,164,135,150,106,"2,156","146,300","1,904","182,500","3,449",0.359,0.0091,"42,830",902
..Four earners or more,"2,675",0,5,0,0,0,1,3,13,16,14,13,14,22,20,34,36,19,40,47,42,55,64,62,39,55,59,69,64,71,66,69,71,57,62,58,54,75,61,74,60,"1,091","181,400","2,963","211,600","4,165",0.310,0.0098,"37,100",876
Mean number of earners,1.30,0.13,0.41,0.27,0.37,0.51,0.59,0.75,0.82,0.89,0.98,1.06,1.10,1.19,1.26,1.30,1.41,1.43,1.50,1.54,1.60,1.59,1.67,1.78,1.81,1.71,1.80,1.87,1.82,1.92,2.00,1.84,1.99,1.89,2.06,2.02,2.07,2.07,2.14,2.16,2.08,2.11,(X),(X),(X),(X),(X),(X),(X),(X)
Work Experience of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"131,400","4,305","2,131","4,536","4,725","5,047","4,728","5,285","4,674","4,761","4,453","4,838","4,252","4,463","3,867","3,904","3,669","3,505","3,061","3,132","2,838","3,312","2,321","2,462","2,188","2,421","2,086","1,996","1,730","1,680","1,375","2,005","1,389","1,461","1,131","1,144","1,043","1,106",921,940,889,"15,660","74,580",588,"106,400",628,0.488,0.0020,"42,330",250
Worked,"86,000",432,690,932,"1,287","1,871","1,887","2,857","2,568","2,738","2,637","3,179","2,783","2,943","2,632","2,726","2,688","2,630","2,265","2,356","2,182","2,664","1,775","2,001","1,791","1,953","1,688","1,644","1,355","1,431","1,201","1,717","1,208","1,268",974,984,918,936,803,815,755,"13,840","96,730",562,"130,200",828,0.436,0.0027,"47,910",301
..Worked at full-time jobs,"73,310",190,303,434,735,"1,187","1,289","2,205","2,045","2,283","2,161","2,655","2,326","2,566","2,185","2,365","2,311","2,338","1,997","2,037","1,891","2,402","1,596","1,808","1,567","1,762","1,508","1,509","1,184","1,307","1,060","1,581","1,084","1,160",866,908,845,867,700,744,658,"12,690","101,800",399,"136,400",872,0.423,0.0029,"49,780",320
....50 weeks or more,"64,440",88,60,220,362,830,939,"1,777","1,649","1,918","1,869","2,320","2,000","2,265","1,884","2,092","2,031","2,109","1,740","1,800","1,652","2,203","1,427","1,639","1,389","1,645","1,377","1,363","1,096","1,172",965,"1,471",998,"1,078",801,799,773,816,654,703,618,"11,850","106,200",728,"141,400",927,0.413,0.0030,"51,360",351
....27 to 49 weeks,"5,796",31,35,66,190,187,238,242,253,249,188,220,200,227,216,187,212,152,180,161,171,149,118,129,139,94,96,97,66,93,73,87,54,58,46,56,58,35,34,35,33,643,"78,630","2,085","109,300","2,950",0.449,0.0112,"40,370","1,254"
....26 weeks or less,"3,074",71,208,148,183,171,113,186,143,115,103,115,125,73,85,86,68,77,76,76,69,50,51,40,39,24,35,49,22,42,23,24,32,23,20,53,14,16,12,6,7,200,"53,890","2,474","82,570","3,637",0.522,0.0166,"32,730","1,531"
..Worked at part-time jobs,"12,690",242,387,499,552,684,598,651,523,455,476,523,458,377,447,361,377,291,268,319,291,261,179,192,225,191,179,135,171,124,140,136,125,108,108,75,73,69,103,71,97,"1,144","63,610","1,790","94,210","2,014",0.496,0.0074,"36,430",747
....50 weeks or more,"7,277",66,123,241,295,382,325,373,290,260,288,333,294,219,257,233,210,170,176,167,160,134,113,113,106,141,96,78,106,94,94,84,81,72,66,42,43,50,65,44,80,712,"67,780","1,690","101,100","2,948",0.488,0.0106,"39,360","1,125"
....27 to 49 weeks,"2,585",30,87,108,96,118,129,137,125,113,61,90,52,81,107,66,105,56,38,85,65,71,25,48,68,27,41,34,29,20,37,29,29,28,24,17,18,2,16,16,13,244,"67,740","2,310","96,340","3,829",0.487,0.0152,"35,800","1,442"
....26 weeks or less,"2,826",146,178,149,161,184,144,141,108,82,128,100,113,77,83,61,62,65,54,67,67,56,41,32,50,23,42,23,36,10,10,22,15,8,18,16,13,17,22,11,5,188,"49,700","2,226","74,420","3,390",0.516,0.0112,"29,390","1,327"
Did not work,"45,430","3,874","1,441","3,604","3,439","3,176","2,841","2,428","2,105","2,023","1,816","1,660","1,469","1,520","1,235","1,178",980,876,796,776,655,649,547,461,396,468,398,352,375,248,175,288,180,193,157,160,124,169,118,125,134,"1,825","39,520",504,"61,400",777,0.529,0.0039,"28,840",356
Educational Attainment of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 25 years and over","125,300","3,927","1,971","4,303","4,457","4,788","4,426","4,945","4,361","4,453","4,134","4,579","4,001","4,181","3,644","3,654","3,423","3,351","2,934","2,981","2,696","3,187","2,263","2,357","2,104","2,361","2,006","1,927","1,695","1,650","1,339","1,965","1,344","1,423","1,108","1,135","1,024","1,084",901,923,878,"15,410","75,980",414,"108,200",640,0.487,0.0020,"42,930",259
Less than 9th grade,"3,672",277,138,346,318,309,270,221,201,158,156,155,87,128,83,100,77,83,79,35,48,43,29,26,29,20,22,27,15,15,13,21,10,7,3,3,7,6,8,7,0,93,"33,830","1,416","54,060","3,237",0.534,0.0231,"17,750","1,040"
"9th to 12th grade, no diploma","5,960",458,210,605,474,466,387,349,267,322,221,246,170,216,159,169,131,96,58,114,79,88,54,77,39,78,46,42,35,27,12,17,22,22,13,13,10,21,7,13,7,120,"35,470","1,052","53,040","1,595",0.511,0.0128,"20,150",593
High school graduate (includes equivalency),"31,830","1,374",686,"1,707","1,724","1,825","1,686","1,817","1,686","1,592","1,311","1,387","1,219","1,206","1,102",951,956,895,704,715,547,644,494,485,397,415,376,386,273,300,217,268,215,194,178,164,148,120,90,117,77,"1,182","51,470",468,"70,300",861,0.465,0.0048,"28,630",341
"Some college, no degree","20,090",656,342,722,855,930,786,975,779,898,854,851,754,737,642,645,498,601,515,527,506,584,348,399,326,373,344,281,271,250,187,249,154,203,174,145,112,128,96,110,80,"1,203","64,150","1,206","85,450","1,316",0.452,0.0061,"34,570",526
Associate degree,"13,560",317,200,390,450,422,419,573,474,516,493,591,512,509,436,485,392,460,380,383,344,415,297,298,289,290,241,252,241,209,135,217,105,134,154,113,100,115,99,69,95,950,"74,920","1,143","95,740","1,672",0.434,0.0081,"37,790",685
Bachelor's degree or more,"50,180",845,394,532,636,835,877,"1,011",955,967,"1,099","1,348","1,258","1,385","1,223","1,304","1,370","1,215","1,198","1,207","1,173","1,413","1,041","1,072","1,025","1,185",976,939,860,850,774,"1,193",838,863,586,696,647,695,602,607,619,"11,870","118,300","1,111","155,300","1,092",0.436,0.0029,"61,440",430
..Bachelor's degree,"30,070",563,262,347,431,587,570,691,615,636,744,890,845,871,756,844,829,780,763,794,746,900,685,657,661,715,595,561,548,550,441,721,469,441,387,401,373,357,336,350,346,"6,012","108,800","1,595","141,700","1,421",0.431,0.0038,"55,900",568
..Master's degree,"15,050",194,82,163,150,173,225,275,255,265,255,368,344,379,384,371,426,369,351,330,352,384,298,338,273,351,299,292,239,236,236,368,288,310,153,224,210,255,196,205,201,"3,990","128,000","1,841","165,500","2,345",0.424,0.0053,"65,480",903
..Professional degree,"2,135",35,20,11,24,44,37,27,45,33,49,50,37,41,36,48,36,17,57,29,34,62,21,21,21,44,32,20,24,17,39,25,48,59,22,20,26,37,17,15,40,816,"157,800","4,321","209,100","7,556",0.463,0.0128,"86,510","2,985"
..Doctorate degree,"2,919",53,30,11,30,31,46,17,39,34,51,40,33,94,48,41,79,49,26,53,41,67,37,56,69,74,50,66,49,47,59,79,34,53,24,52,38,47,53,38,33,"1,047","151,400","3,076","203,000","5,157",0.437,0.0096,"80,470","2,203"
Tenure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
