"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2021 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error,Value   (Dol.),Standard error
All households,"129,931","4,211","2,926","5,109","5,667","5,609","5,186","5,329","5,285","5,100","4,684","5,063","4,301","4,264","3,818","3,971","3,681","3,490","2,873","3,086","2,677","3,122","2,394","2,469","1,851","2,141","1,771","1,690","1,628","1,479","1,371","1,576","1,219","1,251",995,"1,109",978,940,755,848,695,"13,319","67,521",475,"97,026",634,0.489,0.0024,"38,664",263
Type of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"111,999","3,492","2,400","4,106","4,587","4,556","4,209","4,440","4,497","4,215","3,955","4,246","3,646","3,668","3,251","3,400","3,191","2,986","2,412","2,690","2,287","2,743","2,086","2,214","1,643","1,886","1,537","1,516","1,459","1,330","1,239","1,454","1,112","1,132",892,"1,033",895,873,695,779,647,"12,596","70,956",405,"101,290",697,0.487,0.0025,"39,984",288
..Inside principal cities,"43,470","1,655","1,234","1,981","1,967","2,020","1,763","1,825","1,862","1,741","1,577","1,747","1,424","1,501","1,283","1,295","1,189","1,126",888,"1,058",802,"1,019",717,754,579,711,501,514,542,485,367,482,306,404,320,396,304,275,236,237,206,"4,179","62,444",716,"92,398","1,089",0.500,0.0036,"37,896",433
..Outside principal cities,"68,528","1,838","1,166","2,126","2,620","2,536","2,447","2,615","2,635","2,474","2,378","2,500","2,222","2,167","1,967","2,104","2,002","1,861","1,524","1,632","1,485","1,724","1,369","1,460","1,064","1,176","1,036","1,002",917,846,872,972,806,728,572,637,591,597,459,543,441,"8,418","76,022",532,"106,931",910,0.478,0.0033,"41,229",369
Outside metropolitan statistical areas,"17,933",718,526,"1,003","1,080","1,053",977,890,788,885,729,816,655,596,567,571,490,504,461,396,390,378,308,255,208,254,235,174,170,149,132,122,108,119,103,76,83,68,60,69,48,722,"51,616",704,"70,394","1,172",0.467,0.0059,"29,815",499
Region/Divisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,082",562,473,897,952,826,776,784,835,771,687,893,666,675,598,610,651,583,421,495,464,552,459,421,336,387,279,332,278,286,227,258,281,242,200,203,195,184,152,153,121,"2,918","75,211",997,"108,151","1,707",0.492,0.0049,"43,547",672
..New England,"6,168",132,120,220,263,189,240,183,197,191,185,245,166,190,157,188,205,165,118,153,128,156,105,108,97,110,95,125,88,70,67,90,102,65,65,50,58,53,36,54,38,899,"80,304","1,649","115,995","3,091",0.489,0.0081,"48,658","1,209"
..Middle Atlantic,"15,913",430,353,677,690,637,536,601,637,580,502,648,500,486,441,422,446,418,303,342,335,395,354,313,239,277,184,207,189,216,160,168,178,176,135,152,137,131,116,99,83,"2,020","72,657","1,581","105,110","2,051",0.492,0.0067,"41,674",801
Midwest,"27,865",697,693,"1,047","1,199","1,210","1,097","1,156","1,220","1,147",985,"1,156","1,097",882,827,871,874,782,685,622,622,637,459,560,396,495,392,321,330,319,316,311,231,268,242,196,219,188,148,181,154,"2,635","66,968","1,054","95,417","1,445",0.482,0.0055,"39,378",550
..East North Central,"19,168",520,508,752,809,858,721,762,866,804,724,781,800,562,565,588,630,509,462,445,446,435,300,393,255,354,232,226,224,203,220,208,166,160,154,118,140,127,84,140,102,"1,814","65,911","1,318","95,032","1,829",0.488,0.0067,"39,286",681
..West North Central,"8,696",177,185,295,390,352,376,395,354,343,261,375,297,320,262,283,244,274,224,177,176,202,159,167,141,141,160,95,106,116,96,103,64,108,88,77,79,61,64,40,52,821,"69,440","1,354","96,266","2,221",0.469,0.0076,"39,582",869
South,"50,385","2,102","1,184","2,098","2,525","2,460","2,195","2,301","2,097","2,158","2,011","1,958","1,567","1,698","1,506","1,567","1,306","1,389","1,005","1,238",933,"1,199",901,936,649,751,683,571,607,476,463,580,430,411,339,387,330,313,254,316,238,"4,252","61,243",499,"89,309",984,0.498,0.0039,"35,839",398
