"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
..Pacific,"19,843",634,339,740,616,699,636,703,662,646,526,699,542,616,503,539,511,536,481,467,380,512,435,388,327,324,312,343,279,295,240,263,205,219,203,216,148,210,199,132,155,"2,960","82,420","1,156","117,242","1,818",0.493,0.0053,"44,001",680
Type of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family households,"84,265","1,732",918,"1,457","1,695","2,070","2,383","2,685","2,687","2,749","2,545","2,955","2,615","2,803","2,545","2,659","2,540","2,356","2,152","2,160","1,896","2,323","1,960","1,890","1,673","1,676","1,475","1,496","1,360","1,375","1,091","1,303","1,060","1,014",910,"1,012",804,803,820,642,631,"13,346","91,162",478,"124,031",847,0.454,0.0027,"38,720",274
..Married-couple families,"61,435",761,425,587,761,"1,024","1,223","1,492","1,530","1,585","1,557","1,880","1,741","1,871","1,773","1,853","1,794","1,709","1,531","1,632","1,463","1,814","1,559","1,533","1,406","1,308","1,207","1,231","1,132","1,139",935,"1,138",898,862,775,877,689,687,722,592,541,"12,199","106,921",570,"141,885","1,096",0.431,0.0030,"44,606",342
"..Male householder, no spouse present","7,212",208,87,168,221,238,259,300,297,353,261,335,264,336,245,274,286,211,248,189,138,181,130,130,126,177,132,102,80,84,61,71,62,84,71,70,49,31,58,23,31,542,"70,525","1,158","91,234","1,752",0.432,0.0073,"28,470",562
"..Female householder, no spouse present","15,618",763,406,702,713,808,901,893,861,811,727,740,609,595,526,532,460,436,373,338,295,328,270,227,141,192,136,163,148,152,95,93,100,68,64,65,66,85,40,28,59,606,"51,168",562,"68,946","1,103",0.458,0.0063,"20,949",361
Nonfamily households,"46,937","2,567","1,739","3,853","3,508","3,343","2,682","2,518","2,240","2,249","1,879","2,017","1,662","1,638","1,180","1,159","1,062","1,070",907,783,634,890,564,497,376,480,372,398,295,396,264,343,215,263,148,129,161,217,130,116,104,"1,891","41,797",359,"63,331",842,0.512,0.0043,"50,694",669
..Male householder,"22,716","1,212",703,"1,522","1,307","1,363","1,067","1,134","1,042","1,113",977,"1,057",754,853,611,633,588,565,538,440,361,470,311,292,189,259,196,222,202,209,162,192,130,159,80,84,102,150,70,85,73,"1,239","49,466",892,"72,266","1,198",0.506,0.0056,"54,908",906
....Living alone,"17,292","1,136",658,"1,437","1,206","1,210",949,983,868,934,759,861,577,641,432,461,390,371,344,249,217,290,154,167,93,172,101,137,115,134,89,114,87,73,38,35,49,71,23,35,16,615,"40,795",539,"58,982","1,170",0.506,0.0072,"58,982","1,170"
..Female householder,"24,221","1,354","1,037","2,331","2,201","1,980","1,614","1,384","1,198","1,136",902,960,908,785,569,526,474,505,369,343,273,420,253,205,187,220,176,175,93,187,103,151,85,104,68,45,60,67,61,31,31,651,"35,737",493,"54,952",916,0.508,0.0059,"46,310",726
....Living alone,"20,595","1,262",986,"2,261","2,120","1,881","1,530","1,255","1,051","1,002",755,801,739,628,452,410,352,407,254,247,181,290,152,129,109,139,114,113,52,114,44,91,46,48,32,32,30,42,46,14,14,370,"30,866",446,"47,683",950,0.504,0.0075,"47,683",950
Age of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"95,370","3,058","1,660","2,632","2,723","3,082","2,816","3,227","3,227","3,488","3,005","3,585","3,029","3,266","2,704","2,901","2,786","2,652","2,381","2,313","1,993","2,636","1,984","1,920","1,613","1,816","1,504","1,536","1,344","1,410","1,116","1,366","1,065","1,085",908,923,785,865,804,638,630,"12,894","80,734",372,"112,484",744,0.476,0.0026,"40,759",265
..15 to 24 years,"6,061",340,180,210,302,364,192,350,333,327,301,316,333,278,221,191,202,155,180,189,104,143,98,86,60,68,58,37,37,46,30,33,17,37,24,11,13,7,4,8,25,153,"51,645",957,"63,199","1,328",0.430,0.0100,"26,469",621
..25 to 34 years,"20,990",735,278,425,461,669,713,866,672,971,763,"1,011",749,892,607,696,758,659,652,559,497,668,483,447,383,473,241,368,302,298,197,265,189,241,145,163,132,187,171,108,128,"1,768","74,862","1,175","96,572","1,307",0.439,0.0051,"36,965",497
..35 to 44 years,"22,601",574,302,424,486,568,565,638,727,804,716,785,669,741,680,684,639,684,577,540,460,671,439,485,453,475,485,338,324,365,281,330,306,300,251,269,228,212,240,210,139,"3,542","90,312",949,"121,376","1,273",0.453,0.0042,"36,470",427
..45 to 54 years,"21,647",534,318,531,459,486,599,611,601,566,546,691,582,629,569,658,563,586,508,536,470,557,458,455,391,412,385,451,374,383,289,421,299,298,269,246,193,242,193,168,177,"3,941","97,089",971,"131,165","1,616",0.464,0.0048,"44,105",594
..55 to 64 years,"24,070",875,582,"1,042","1,015",994,748,763,894,820,679,781,697,726,627,671,624,567,464,489,462,597,505,449,325,388,335,342,307,319,319,317,255,209,220,235,219,216,197,144,161,"3,491","75,842",877,"113,621","1,563",0.515,0.0048,"50,377",692
65 years and over,"35,832","1,241",997,"2,678","2,479","2,330","2,249","1,976","1,700","1,511","1,418","1,387","1,248","1,174","1,021",917,816,774,678,630,537,577,540,467,436,340,344,358,311,360,240,279,210,192,150,218,180,154,146,121,105,"2,343","47,620",630,"75,254","1,006",0.518,0.0049,"41,249",580
..65 to 74 years,"20,964",633,532,"1,455","1,229","1,059","1,068","1,056",926,808,804,794,784,737,611,626,499,461,439,432,341,398,386,299,286,248,245,266,222,254,152,194,150,138,88,148,131,113,105,77,71,"1,701","55,747",741,"84,975","1,440",0.513,0.0064,"44,219",764
..75 years and over,"14,868",608,465,"1,222","1,251","1,271","1,181",920,774,703,614,593,464,437,410,292,317,313,240,198,196,179,154,168,150,92,99,92,89,106,88,85,60,54,62,70,50,42,41,43,34,642,"38,239",762,"61,547","1,274",0.510,0.0073,"36,479",739
Mean age of householder,51.83,51.99,56.11,60.67,59.53,57.23,57.50,54.07,53.80,51.33,52.04,50.45,50.93,50.10,51.01,50.03,49.21,49.54,48.36,48.85,49.23,48.08,49.60,49.24,49.27,47.32,49.29,49.31,49.36,49.79,50.43,49.62,49.58,47.67,49.49,50.49,50.48,49.07,48.96,49.63,48.51,50.49,(X),(X),(X),(X),(X),(X),(X),(X)
Size of Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"37,887","2,398","1,645","3,699","3,325","3,091","2,479","2,238","1,918","1,935","1,514","1,662","1,316","1,269",884,871,743,778,598,496,398,580,306,296,202,311,215,251,168,249,133,205,133,121,71,67,78,113,69,49,30,985,"35,145",456,"52,840",828,0.508,0.0053,"52,840",828
Two people,"45,549","1,012",580,972,"1,060","1,331","1,577","1,790","1,717","1,678","1,660","1,781","1,635","1,661","1,471","1,548","1,475","1,269","1,196","1,213","1,061","1,217","1,124",928,783,822,713,747,627,694,596,615,451,530,410,408,371,422,362,255,290,"5,496","79,338",745,"109,557","1,093",0.457,0.0037,"53,793",556
Three people,"19,814",402,185,301,404,477,484,596,560,610,586,691,576,700,599,581,649,553,580,535,453,572,464,462,437,404,323,372,312,304,242,360,262,199,221,232,234,225,186,184,139,"3,156","93,124","1,335","125,375","1,612",0.446,0.0050,"40,043",538
Four people,"16,191",296,144,221,235,246,291,309,341,441,350,454,371,449,390,459,401,495,408,424,345,500,365,428,336,384,326,296,340,306,265,282,255,245,215,253,159,126,188,158,171,"3,527","111,401",886,"146,412","1,800",0.435,0.0046,"35,317",454
Five people,"7,294",104,71,70,112,156,136,148,244,217,173,231,247,231,222,237,213,181,151,173,172,224,156,187,180,156,166,122,129,152,73,132,105,125,78,114,79,92,93,74,69,"1,299","103,214","1,521","136,530","2,799",0.439,0.0077,"26,432",559
Six people,"2,820",42,19,26,40,72,56,86,101,84,91,89,89,84,108,59,81,102,78,65,70,81,77,62,72,53,61,61,59,41,28,33,46,28,35,39,31,19,35,22,20,477,"96,928","3,137","131,243","5,106",0.446,0.0144,"21,088",838
Seven people or more,"1,649",44,14,21,26,40,42,37,45,33,49,64,43,46,50,63,39,48,48,36,32,41,32,25,39,26,43,45,22,25,20,19,23,29,29,28,13,22,17,17,16,297,"100,246","3,730","128,239","4,507",0.427,0.0131,"15,627",572
Mean size of household,2.50,1.88,1.72,1.56,1.68,1.83,1.94,2.04,2.21,2.20,2.27,2.31,2.38,2.43,2.56,2.59,2.60,2.65,2.69,2.71,2.75,2.78,2.81,2.90,3.05,2.89,3.06,2.93,3.06,2.88,2.92,2.91,3.15,3.03,3.15,3.28,3.09,2.94,3.16,3.22,3.21,3.21,(X),(X),(X),(X),(X),(X),(X),(X)
Number of Earners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"32,817","3,699","1,796","4,058","3,476","2,820","2,338","1,883","1,653","1,332","1,115","1,093",829,786,625,552,510,441,359,334,258,285,262,211,184,147,142,124,120,149,108,105,63,64,56,76,55,42,36,48,37,544,"26,148",329,"41,945",535,0.532,0.0049,"26,068",355
One earner,"46,880",565,781,"1,124","1,574","2,236","2,320","2,722","2,571","2,765","2,338","2,607","2,178","2,287","1,705","1,659","1,477","1,338","1,158","1,032",858,"1,155",686,696,473,705,530,596,362,499,315,519,294,278,220,213,192,260,176,158,123,"3,134","58,983",616,"84,821",861,0.460,0.0046,"39,212",457
Two earners or more,"51,505",35,81,127,152,356,406,598,703,901,970,"1,272","1,270","1,367","1,395","1,607","1,614","1,647","1,541","1,578","1,415","1,774","1,575","1,480","1,392","1,304","1,175","1,173","1,173","1,122",932,"1,022",918,935,782,852,718,717,738,552,575,"11,559","121,721",694,"156,705","1,110",0.379,0.0031,"46,292",334
..Two earners,"41,149",32,78,125,133,315,384,532,642,840,878,"1,142","1,142","1,222","1,185","1,335","1,349","1,393","1,263","1,344","1,171","1,423","1,236","1,236","1,057","1,049",871,920,876,887,706,802,706,711,580,624,499,582,555,410,385,"8,530","115,757",762,"151,415","1,249",0.388,0.0035,"48,978",420
..Three earners,"7,794",3,1,2,18,40,16,63,55,52,85,123,109,127,191,247,230,215,256,193,200,275,290,188,275,206,238,203,219,148,156,167,146,161,153,152,183,87,121,87,120,"1,992","134,884","1,988","167,969","2,810",0.344,0.0068,"40,000",720
..Four earners or more,"2,562",0,2,0,2,2,6,3,6,9,8,6,19,18,19,26,35,39,23,40,44,76,49,56,60,50,67,50,78,87,70,52,66,63,49,76,36,48,61,56,70,"1,037","179,113","4,197","207,420","4,251",0.301,0.0099,"36,876",911
Mean number of earners,1.28,0.15,0.36,0.27,0.37,0.56,0.64,0.78,0.85,0.95,1.02,1.09,1.17,1.20,1.30,1.41,1.43,1.49,1.54,1.56,1.61,1.64,1.71,1.70,1.85,1.73,1.82,1.75,1.94,1.79,1.89,1.77,1.96,1.96,1.98,2.03,2.05,1.91,2.06,1.99,2.15,2.07,(X),(X),(X),(X),(X),(X),(X),(X)
Work Experience of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"131,202","4,299","2,658","5,309","5,202","5,412","5,065","5,203","4,927","4,998","4,423","4,972","4,277","4,440","3,725","3,818","3,601","3,426","3,059","2,943","2,530","3,213","2,524","2,387","2,049","2,156","1,847","1,894","1,655","1,770","1,356","1,646","1,275","1,277","1,058","1,141",966,"1,019",950,758,735,"15,237","70,784",368,"102,316",626,0.494,0.0023,"40,857",252
Worked,"85,544",519,725,"1,056","1,468","2,178","2,312","2,760","2,672","3,045","2,728","3,307","2,870","3,073","2,554","2,810","2,605","2,582","2,327","2,241","1,936","2,563","2,011","1,915","1,688","1,785","1,474","1,595","1,356","1,442","1,157","1,394","1,121","1,099",890,973,840,889,848,644,643,"13,448","92,147",501,"125,175",869,0.439,0.0027,"46,258",318
..Worked at full-time jobs,"72,666",260,330,494,839,"1,393","1,545","2,073","2,112","2,516","2,209","2,800","2,395","2,680","2,204","2,492","2,306","2,228","2,055","2,030","1,738","2,353","1,729","1,703","1,480","1,664","1,316","1,411","1,240","1,295","1,043","1,258",988,"1,017",830,870,770,795,775,596,563,"12,272","98,627",914,"131,325",977,0.423,0.0029,"48,068",348
....50 weeks or more,"62,764",108,103,233,462,904,"1,099","1,593","1,686","2,046","1,906","2,400","2,057","2,295","1,870","2,129","1,981","1,930","1,797","1,809","1,532","2,114","1,522","1,542","1,317","1,504","1,152","1,258","1,074","1,203",930,"1,152",917,941,753,814,715,732,692,541,512,"11,440","102,535",614,"137,100","1,050",0.412,0.0030,"50,064",384
....27 to 49 weeks,"6,128",18,61,73,161,256,262,317,220,293,158,252,205,253,205,236,249,232,169,141,147,166,134,124,110,116,123,124,125,58,71,78,54,49,70,44,41,37,60,41,29,570,"76,644","1,210","105,263","2,788",0.448,0.0115,"38,826","1,052"
....26 weeks or less,"3,775",134,166,188,216,234,184,163,206,177,145,148,133,132,128,127,76,67,90,80,59,73,73,38,53,44,41,30,41,34,42,28,17,27,7,12,14,27,23,14,22,263,"51,911","1,767","77,611","2,689",0.500,0.0120,"29,183","1,063"
..Worked at part-time jobs,"12,878",258,395,562,629,784,768,687,560,529,520,506,475,393,350,319,299,353,272,211,198,210,283,212,208,121,158,184,116,147,114,136,133,83,60,102,70,93,73,48,80,"1,176","57,264","1,103","90,474","1,684",0.510,0.0060,"35,353",656
....50 weeks or more,"7,043",31,122,233,281,397,395,370,338,326,291,267,260,233,211,215,145,224,152,109,94,109,167,134,124,75,92,119,75,79,73,108,92,56,29,67,52,56,37,22,54,732,"64,446","1,802","97,819","1,937",0.483,0.0064,"38,212",794
....27 to 49 weeks,"2,448",25,79,130,103,147,161,140,84,99,111,117,110,63,51,50,73,70,71,47,48,41,50,22,36,17,40,37,11,36,15,7,24,10,15,24,6,9,11,12,14,228,"56,155","1,842","95,660","5,722",0.540,0.0195,"36,365","2,099"
....26 weeks or less,"3,387",202,194,199,245,240,212,177,138,104,118,123,105,98,88,53,81,59,48,56,56,60,66,55,49,29,26,28,29,33,27,21,17,17,16,11,12,29,24,14,11,216,"43,682","3,010","71,455","2,997",0.533,0.0131,"28,513","1,131"
Did not work,"45,658","3,780","1,933","4,253","3,735","3,235","2,752","2,443","2,255","1,953","1,695","1,665","1,407","1,367","1,170","1,008",996,844,732,702,594,650,512,472,361,371,373,298,299,328,199,251,154,178,169,169,126,130,102,114,92,"1,789","36,413",416,"59,487",718,0.544,0.0043,"27,978",355
Educational Attainment of Householder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 25 years and over","125,141","3,959","2,478","5,099","4,901","5,048","4,873","4,854","4,594","4,671","4,122","4,656","3,944","4,162","3,504","3,627","3,399","3,270","2,879","2,754","2,427","3,071","2,425","2,301","1,989","2,088","1,790","1,857","1,618","1,724","1,325","1,613","1,258","1,240","1,035","1,131",952,"1,012",946,751,710,"15,084","72,046",381,"104,211",654,0.494,0.0023,"41,520",264
Less than 9th grade,"3,619",274,244,488,354,287,213,276,161,170,109,107,100,102,76,84,54,53,42,53,44,34,25,26,12,16,13,14,21,23,15,7,5,7,16,10,0,3,7,5,5,64,"28,294","1,430","44,728","1,656",0.525,0.0134,"15,269",564
