"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
..Middle Atlantic,"16,422",537,292,755,627,659,687,554,555,619,487,573,481,530,380,436,344,370,345,375,283,424,310,285,254,301,185,228,192,273,166,168,180,184,123,163,103,145,154,145,116,"2,434","75,532","1,857","111,631","2,120",0.503,0.0065,"44,430",818
Midwest,"28,050",818,587,"1,067","1,147","1,117","1,004","1,086","1,169","1,037","1,001","1,038",966,959,788,902,938,822,725,567,611,591,540,582,526,466,379,388,403,400,318,337,262,241,180,232,234,197,219,177,155,"2,875","71,129",781,"98,468","1,366",0.477,0.0049,"40,592",520
..East North Central,"19,286",604,419,795,807,793,679,731,804,723,698,687,675,630,530,662,662,592,467,362,403,401,359,393,356,293,262,243,304,268,237,232,165,162,113,146,164,132,147,123,94,"1,969","70,429","1,262","98,131","1,876",0.484,0.0067,"40,470",721
..West North Central,"8,764",214,167,272,340,325,325,355,365,314,303,351,291,329,259,240,276,230,259,205,208,189,181,189,170,174,118,144,98,132,81,105,97,78,67,86,70,64,72,54,62,906,"73,392","1,713","99,209","1,940",0.460,0.0055,"40,861",762
South,"50,612","1,914","1,124","2,204","2,234","2,286","2,105","2,218","2,018","2,141","1,853","2,040","1,817","1,797","1,577","1,454","1,359","1,246","1,126","1,177",952,"1,296",931,795,668,803,705,698,568,584,462,597,441,435,374,396,356,325,260,215,215,"4,845","63,368",740,"92,797",975,0.495,0.0038,"37,174",405
..South Atlantic,"26,806",963,510,"1,062","1,203","1,122","1,052","1,114","1,083","1,126",970,"1,093","1,032",968,833,797,688,594,584,633,484,756,534,433,338,439,396,372,304,323,217,340,240,218,187,229,218,168,154,104,161,"2,765","65,539",797,"95,895","1,486",0.491,0.0051,"38,831",623
..East South Central,"8,039",354,193,444,403,463,374,414,348,345,263,325,260,283,250,211,247,214,213,161,183,188,158,116,113,103,103,112,67,96,70,71,49,69,48,53,51,45,24,34,18,502,"56,532","1,322","80,625","2,403",0.494,0.0092,"33,549",987
..West South Central,"15,767",598,420,697,628,701,678,690,587,669,620,622,526,547,494,446,424,439,328,383,285,352,239,246,216,262,207,214,197,164,176,185,153,148,139,115,87,112,82,77,37,"1,578","63,724","1,441","93,736","1,896",0.499,0.0070,"36,202",725
West,"29,900",879,554,"1,087",969,"1,102","1,023","1,111","1,002","1,000",907,"1,124",848,960,800,846,814,832,738,699,572,761,626,631,502,479,494,475,386,422,337,442,302,332,327,301,222,302,281,174,205,"4,031","79,430",901,"112,413","1,419",0.490,0.0044,"43,067",547
..Mountain,"10,057",244,216,347,352,402,387,408,340,354,381,425,307,344,297,307,303,296,256,232,192,248,190,243,174,155,182,132,107,127,97,179,97,113,124,85,73,92,81,42,50,"1,071","73,245","1,560","102,885","2,123",0.479,0.0070,"41,104",810
